id,short_name,full_name,impact_factor,publisher,issn,ccf_rank,updated_at,detail_page
240,,Bioinformatics,5.4,Oxford University Press,1367-4803,A,2025-12-28,https://www.myhuiban.com/journal/240
11,,Journal of Cryptology,2.2,Springer,0933-2790,A,2026-01-09,https://www.myhuiban.com/journal/11
166,AI,Artificial Intelligence,4.6,Elsevier,0004-3702,A,2025-12-26,https://www.myhuiban.com/journal/166
63,IANDC,Information and Computation,1.4,Elsevier,0890-5401,A,2026-07-14,https://www.myhuiban.com/journal/63
168,IJCV,International Journal of Computer Vision,9.3,Springer,0920-5691,A,2025-08-02,https://www.myhuiban.com/journal/168
379,IJHCS,International Journal of Human-Computer Studies,5.1,Elsevier,1071-5819,A,2025-12-26,https://www.myhuiban.com/journal/379
58,JACM,Journal of the ACM,2.5,ACM,0004-5411,A,2026-01-08,https://www.myhuiban.com/journal/58
169,JMLR,Journal of Machine Learning Research,,Microtome Publishing,1532-4435,A,2013-10-04,https://www.myhuiban.com/journal/169
6,JSAC,IEEE Journal on Selected Areas in Communications,17.2,IEEE,0733-8716,A,2025-08-02,https://www.myhuiban.com/journal/6
244,Proc. IEEE,Proceedings of the IEEE,25.9,IEEE,0018-9219,A,2025-08-02,https://www.myhuiban.com/journal/244
247,SCIS,Science China Information Sciences,7.6,Springer,1674-733X,A,2025-09-26,https://www.myhuiban.com/journal/247
59,SICOMP,SIAM Journal on Computing,,SIAM,0097-5397,A,2013-10-03,https://www.myhuiban.com/journal/59
1,TACO,ACM Transactions on Architecture and Code Optimization,1.8,ACM,1544-3566,A,2026-04-11,https://www.myhuiban.com/journal/1
3,TC,IEEE Transactions on Computers,3.8,IEEE,0018-9340,A,2025-12-30,https://www.myhuiban.com/journal/3
12,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2.9,IEEE,0278-0070,A,2026-01-04,https://www.myhuiban.com/journal/12
9,TDSC,IEEE Transactions on Dependable and Secure Computing,7.5,IEEE,1545-5971,A,2025-09-26,https://www.myhuiban.com/journal/9
10,TIFS,IEEE Transactions on Information Forensics and Security,8.0,IEEE,1556-6013,A,2025-12-30,https://www.myhuiban.com/journal/10
140,TIP,IEEE Transactions on Image Processing,13.7,IEEE,1057-7149,A,2025-08-02,https://www.myhuiban.com/journal/140
62,TIT,IEEE Transactions on Information Theory,2.9,IEEE,0018-9448,A,2026-01-04,https://www.myhuiban.com/journal/62
