id,short_name,full_name,submission_date,notification_date,conference_date,location,ccf_rank,core_rank,qualis_rank,cp_index,cp_index_rank,cp_index_confidence,is_extended,years,clicked,detail_page
429,ICASSP,"International Conference on Acoustics, Speech and Signal Processing",2026-09-16,2027-01-13,2027-05-16,"Toronto, Ontario, Canada",B,,A1,91.14,53,1,False,52,8873691,https://www.myhuiban.com/conference/429
199,EuroSys,European Conference on Computer Systems,2026-09-17,2027-01-29,2027-04-19,"Rabat, Morocco",A,A,A2,91.05,55,1,False,22,197467,https://www.myhuiban.com/conference/199
294,Eurocrypt,International Conference on the Theory and Applications of Cryptographic Techniques,2026-09-17,2027-01-18,2027-04-11,"Eindhoven, the Netherlands",A,A*,A1,94.79,12,1,False,46,123193,https://www.myhuiban.com/conference/294
966,FC,International Conference on Financial Cryptography and Data Security,2026-09-17,2026-11-05,2027-02-08,Barbados,C,A,B1,85.1,127,1,False,31,64955,https://www.myhuiban.com/conference/966
558,ISQED,International Symposium on Quality Electronic Design,2026-09-17,2027-01-22,2027-04-14,"San Francisco, California, USA",,,B1,68.03,365,0.8,False,28,110972,https://www.myhuiban.com/conference/558
472,HRI,International Conference on Human-Robot Interaction,2026-09-18,,2027-03-08,"Santa Clara, California, USA",,A*,A2,72.8,288,0.8,False,22,78457,https://www.myhuiban.com/conference/472
2350,ICLR,International Conference on Learning Representations,2026-09-18,2026-12-16,2027-04-26,"San Francisco, California, USA",A,A*,,89.16,84,1,False,15,161430,https://www.myhuiban.com/conference/2350
718,ICOIN,International Conference on Information Networking,2026-09-18,2026-11-13,2027-01-13,"Nha Trang, Vietnam",,,B1,69.78,339,0.8,False,41,44530,https://www.myhuiban.com/conference/718
5590,ACRA,Australasian Conference on Robotics and Automation,2026-09-20,2026-10-15,2026-11-30,"Canberra, Australia",,C,,47.95,2064,0.6,False,0,1028,https://www.myhuiban.com/conference/5590
697,APCC,Asia-Pacific Conference on Communications ,2026-09-20,2026-10-15,2026-11-10,"Xi an, China",,C,,61.41,555,0.8,True,31,46041,https://www.myhuiban.com/conference/697
159,ECIR,European Conference on Information Retrieval,2026-09-21,2026-12-07,2027-03-21,"Southampton, UK",C,A,A2,80.38,192,0.8,False,49,135282,https://www.myhuiban.com/conference/159
